"""","総 数_就業者数(A+B)","従事日数150日以上_就業者数(A+B)","男子計_就業者数(A+B)","男子_15～24歳_就業者数(A+B)","男子_25～39歳_就業者数(A+B)","男子_40～59歳_就業者数(A+B)","男子_60歳以上_就業者数(A+B)","女子_就業者数(A+B)","総 数_自営就業者数(A)","従事日数150日以上_自営就業者数(A)","男子計_自営就業者数(A)","男子_15～24歳_自営就業者数(A)","男子_25～39歳_自営就業者数(A)","男子_40～59歳_自営就業者数(A)","男子_60歳以上_自営就業者数(A)","女子_自営就業者数(A)","総 数_雇われ就業者数(B)","従事日数150日以上_雇われ就業者数(B)","男子計_雇われ就業者数(B)","男子_15～24歳_雇われ就業者数(B)","男子_25～39歳_雇われ就業者数(B)","男子_40～59歳_雇われ就業者数(B)","男子_60歳以上_雇われ就業者数(B)","女子_雇われ就業者数(B)"
"昭和50年(1975年)","9125.0","5561.0","8613.0","351.0","1786.0","4544.0","1932.0","512.0","5710.0","3566.0","5347.0","245.0","1000.0","2851.0","1251.0","363.0","3415.0","1995.0","3266.0","106.0","786.0","1693.0","681.0","149.0"
"昭和55年(1980年)","7450.0","4840.0","6970.0","190.0","1140.0","3970.0","1670.0","480.0","4740.0","2990.0","4410.0","140.0","650.0","2490.0","1140.0","330.0","2710.0","1850.0","2570.0","40.0","480.0","1500.0","540.0","140.0"
"昭和60年(1985年)","7230.0","5110.0","6630.0","130.0","1020.0","3680.0","1800.0","600.0","4780.0","3360.0","4320.0","100.0","550.0","2310.0","1360.0","460.0","2360.0","1750.0","2220.0","30.0","470.0","1310.0","410.0","140.0"
"平成 2年(1990年)","7100.0","4100.0","6470.0","210.0","750.0","3070.0","2450.0","620.0","4760.0","2410.0","4280.0","180.0","520.0","1910.0","1680.0","490.0","2330.0","1690.0","2190.0","40.0","220.0","1160.0","780.0","140.0"
"平成 7年(1995年)","5930.0","2440.0","5540.0","220.0","710.0","2060.0","2540.0","390.0","4360.0","1630.0","4070.0","140.0","480.0","1320.0","2140.0","290.0","1570.0","810.0","1470.0","80.0","230.0","740.0","420.0","100.0"
"平成12年(2000年)","5580.0","2530.0","5220.0","110.0","580.0","1310.0","3230.0","360.0","4030.0","1570.0","3760.0","70.0","330.0","900.0","2460.0","270.0","1550.0","960.0","1460.0","40.0","250.0","410.0","760.0","90.0"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"平成14年(2002年)","5490.0","…","5180.0","90.0","560.0","1350.0","3190.0","310.0","3900.0","…","3670.0","70.0","310.0","880.0","2410.0","240.0","1590.0","…","1520.0","20.0","250.0","470.0","780.0","70.0"
"平成15年(2003年)","4668.0","…","4366.0","127.0","565.0","1251.0","2423.0","302.0","3173.0","…","…","…","…","…","…","…","1495.0","…","…","…","…","…","…","…"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"平成20年(2008年)","3922.0","…","3703.0","88.0","454.0","1139.0","2022.0","219.0","2521.0","…","…","…","…","…","…","…","1401.0","…","…","…","…","…","…","…"
"平成25年(2013年)","2907.0","…","2814.0","51.0","322.0","828.0","1613.0","93.0","1979.0","…","…","…","…","…","…","…","928.0","…","…","…","…","…","…","…"
"","","","","","","","","","","","","","","","","","","","","","","","",""
"瀬戸内海区","1156.0","…","1120.0","28.0","130.0","378.0","584.0","36.0","808.0","…","…","…","…","…","…","…","348.0","…","…","…","…","…","…","…"
"太平洋南区","1751.0","…","1694.0","23.0","192.0","450.0","1029.0","57.0","1171.0","…","…","…","…","…","…","…","580.0","…","…","…","…","…","…","…"
